MsgID.GLOBAL_POSITION,1526390824.3985181,-122.3974498,37.7924812,0.0930000
MsgID.LOCAL_VELOCITY,1526390824.3985181,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3986781,0.0833231,0.3095399,-0.0939039
MsgID.LOCAL_VELOCITY,1526390824.3986781,-0.0000247,-0.0000338,0.0000155
MsgID.GLOBAL_POSITION,1526390824.3988521,-122.3974504,37.7924805,0.0820000
MsgID.LOCAL_VELOCITY,1526390824.3988521,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3990121,-0.0001099,0.2557262,-0.0823029
MsgID.LOCAL_VELOCITY,1526390824.3990121,0.0000120,-0.0000036,0.0000160
MsgID.STATE,1526390824.3992550,True,True
MsgID.GLOBAL_HOME,1526390824.3995159,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1526390824.3996658,-122.3974491,37.7924797,0.0570000
MsgID.LOCAL_VELOCITY,1526390824.3996658,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.3998311,-0.0754742,0.3728306,-0.0563195
MsgID.LOCAL_VELOCITY,1526390824.3998311,0.0000118,-0.0000201,0.0000143
MsgID.GLOBAL_POSITION,1526390824.4000399,-122.3974481,37.7924800,0.0230000
MsgID.LOCAL_VELOCITY,1526390824.4000399,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.4002612,-0.0436703,0.4553070,-0.0228913
MsgID.LOCAL_VELOCITY,1526390824.4002612,0.0000095,-0.0000047,0.0000130
MsgID.GLOBAL_POSITION,1526390824.4004538,-122.3974484,37.7924806,-0.0070000
MsgID.LOCAL_VELOCITY,1526390824.4004538,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1526390824.4006751,0.0170794,0.4350907,0.0078991
MsgID.LOCAL_VELOCITY,1526390824.4006751,0.0000003,0.0000023,0.0000242
MsgID.GLOBAL_POSITION,1526390824.4008560,-122.3974505,37.7924812,-0.0360000
MsgID.LOCAL_VELOCITY,1526390824.4008560,0.0000000,0.0000000,0.0000000
